CP, 01, 2016011312,   , BEST,   0,  41N, 1714W,  70,  984, HU,  64, NEQ,   10,   10,   10,   10, 1009,  150,  10,  85,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  180,  150,  180,  180, 
CP, 01, 2016011318,   , BEST,   0,  36N, 1716W,  60,  990, TS,  34, NEQ,   90,   70,   70,   90, 1009,  150,  10,  85,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  120,  150,  150, 
CP, 01, 2016011318,   , BEST,   0,  36N, 1716W,  60,  990, TS,  50, NEQ,   50,   40,   40,   50, 1009,  150,  10,  85,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  120,  150,  150, 
CP, 01, 2016011400,   , BEST,   0,  32N, 1719W,  50,  996, TS,  34, NEQ,   90,   70,   70,   90, 1009,  150,  10,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  120,  150,  150, 
CP, 01, 2016011400,   , BEST,   0,  32N, 1719W,  50,  996, TS,  50, NEQ,   40,   20,   20,   40, 1009,  150,  10,  65,   0,   C,   0,    ,   0,   0,       PALI, D, 12, NEQ,  150,  120,  150,  150, 
CP, 01, 2016011406,   , BEST,   0,  28N, 1722W,  40, 1000, TS,  34, NEQ,   60,   40,   40,   60, 1007,  150,  20,  50,   0,   C,   0,    ,   0,   0,       PALI, M, 12, NEQ,  150,  120,  150,  150, 
CP, 01, 2016011412,   , BEST,   0,  25N, 1725W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  60,  40,   0,   C,   0,    ,   0,   0,       PALI, M, 12, NEQ,   90,   60,   60,   90, 
CP, 01, 2016011418,   , BEST,   0,  21N, 1728W,  30, 1003, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  60,  40,   0,   C,   0,    ,   0,   0,       PALI, M, 
CP, 01, 2016011500,   , BEST,   0,  17N, 1732W,  25, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  60,  35,   0,   C,   0,    ,   0,   0,       PALI, S, 
CP, 01, 2016011506,   , BEST,   0,  12N, 1733W,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,    ,   0,   0,       PALI, S, 
CP, 01, 2016011512,   , BEST,   0,  10N, 1737W,  20, 1005, DB,  34, NEQ,    0,    0,    0,    0, 1007,  180,  60,   0,   0,   C,   0,    ,   0,   0,       PALI, S, 
